Date,Open,High,Low,Close,Volume
1958-10-20,51.27,51.27,51.27,51.27,2533333
1958-10-21,51.27,51.27,51.27,51.27,2227778
1958-10-22,51.07,51.07,51.07,51.07,1944444
1958-10-23,50.97,50.97,50.97,50.97,2005556
1958-10-24,50.81,50.81,50.81,50.81,2094444
1958-10-27,50.42,50.42,50.42,50.42,2211111
1958-10-28,50.58,50.58,50.58,50.58,2038889
1958-10-29,51.07,51.07,51.07,51.07,2661111
1958-10-30,51.27,51.27,51.27,51.27,2422222
1958-10-31,51.33,51.33,51.33,51.33,2177778
1958-11-03,51.56,51.56,51.56,51.56,1800000
1958-11-05,52.03,52.03,52.03,52.03,2266667
1958-11-06,52.45,52.45,52.45,52.45,2716667
1958-11-07,52.26,52.26,52.26,52.26,2055556
1958-11-10,52.57,52.57,52.57,52.57,2072222
1958-11-11,52.98,52.98,52.98,52.98,2244444
1958-11-12,53.05,53.05,53.05,53.05,2466667
1958-11-13,52.83,52.83,52.83,52.83,2333333
1958-11-14,53.09,53.09,53.09,53.09,2438889
1958-11-17,53.24,53.24,53.24,53.24,2522222
1958-11-18,53.13,53.13,53.13,53.13,2122222
1958-11-19,53.2,53.2,53.2,53.2,2272222
1958-11-20,53.21,53.21,53.21,53.21,2400000
1958-11-21,52.7,52.7,52.7,52.7,2194444
1958-11-24,52.03,52.03,52.03,52.03,2650000
1958-11-25,51.02,51.02,51.02,51.02,2188889
1958-11-26,51.9,51.9,51.9,51.9,2272222
1958-11-28,52.48,52.48,52.48,52.48,2288889
1958-12-01,52.69,52.69,52.69,52.69,2111111
1958-12-02,52.46,52.46,52.46,52.46,1844444
1958-12-03,52.53,52.53,52.53,52.53,1922222
1958-12-04,52.55,52.55,52.55,52.55,2016667
1958-12-05,52.46,52.46,52.46,52.46,1866667
1958-12-08,52.46,52.46,52.46,52.46,1994444
1958-12-09,52.82,52.82,52.82,52.82,2105556
1958-12-10,53.46,53.46,53.46,53.46,2411111
1958-12-11,53.35,53.35,53.35,53.35,2361111
1958-12-12,53.22,53.22,53.22,53.22,1744444
1958-12-15,53.37,53.37,53.37,53.37,1855556
1958-12-16,53.57,53.57,53.57,53.57,2205556
1958-12-17,53.92,53.92,53.92,53.92,2166667
1958-12-18,54.15,54.15,54.15,54.15,2166667
1958-12-19,54.07,54.07,54.07,54.07,1966667
1958-12-22,53.71,53.71,53.71,53.71,1683333
1958-12-23,53.42,53.42,53.42,53.42,1594444
1958-12-24,54.11,54.11,54.11,54.11,1694444
1958-12-29,54.74,54.74,54.74,54.74,2105556
1958-12-30,54.93,54.93,54.93,54.93,2166667
1958-12-31,55.21,55.21,55.21,55.21,2205556
1959-01-02,55.44,55.44,55.44,55.44,1877778
1959-01-05,55.66,55.66,55.66,55.66,2338889
1959-01-06,55.59,55.59,55.59,55.59,2050000
1959-01-07,54.89,54.89,54.89,54.89,2300000
1959-01-08,55.4,55.4,55.4,55.4,2238889
1959-01-09,55.77,55.77,55.77,55.77,2644444
1959-01-12,55.78,55.78,55.78,55.78,2400000
1959-01-13,55.47,55.47,55.47,55.47,2105556
1959-01-14,55.62,55.62,55.62,55.62,2272222
1959-01-15,55.83,55.83,55.83,55.83,2500000
1959-01-16,55.81,55.81,55.81,55.81,2388889
1959-01-19,55.68,55.68,55.68,55.68,2133333
1959-01-20,55.72,55.72,55.72,55.72,2044444
1959-01-21,56.04,56.04,56.04,56.04,2188889
1959-01-22,55.97,55.97,55.97,55.97,2361111
1959-01-23,56,56,56,56,2000000
1959-01-26,55.77,55.77,55.77,55.77,2211111
1959-01-27,55.78,55.78,55.78,55.78,1933333
1959-01-28,55.16,55.16,55.16,55.16,2327778
1959-01-29,55.2,55.2,55.2,55.2,1927778
1959-01-30,55.45,55.45,55.45,55.45,2000000
1959-02-02,55.21,55.21,55.21,55.21,2005556
1959-02-03,55.28,55.28,55.28,55.28,1788889
1959-02-04,55.06,55.06,55.06,55.06,1761111
1959-02-05,54.81,54.81,54.81,54.81,1744444
1959-02-06,54.37,54.37,54.37,54.37,1672222
1959-02-09,53.58,53.58,53.58,53.58,1738889
1959-02-10,54.32,54.32,54.32,54.32,1644444
1959-02-11,54.35,54.35,54.35,54.35,1666667
1959-02-12,54,54,54,54,1461111
1959-02-13,54.42,54.42,54.42,54.42,1705556
1959-02-16,54.5,54.5,54.5,54.5,1933333
1959-02-17,54.29,54.29,54.29,54.29,1772222
1959-02-18,54.3,54.3,54.3,54.3,1933333
1959-02-19,55.5,55.5,55.5,55.5,2311111
1959-02-20,55.52,55.52,55.52,55.52,2327778
1959-02-24,55.48,55.48,55.48,55.48,2411111
1959-02-25,55.24,55.24,55.24,55.24,2100000
1959-02-26,55.34,55.34,55.34,55.34,2183333
1959-02-27,55.41,55.41,55.41,55.41,2388889
1959-03-02,55.73,55.73,55.73,55.73,2338889
1959-03-03,56.25,56.25,56.25,56.25,2661111
1959-03-04,56.35,56.35,56.35,56.35,2305556
1959-03-05,56.43,56.43,56.43,56.43,2183333
1959-03-06,56.21,56.21,56.21,56.21,2183333
1959-03-09,56.15,56.15,56.15,56.15,1961111
1959-03-10,56.31,56.31,56.31,56.31,2177778
1959-03-11,56.35,56.35,56.35,56.35,2311111
1959-03-12,56.6,56.6,56.6,56.6,2605556
1959-03-13,56.67,56.67,56.67,56.67,2711111
1959-03-16,56.06,56.06,56.06,56.06,2455556
1959-03-17,56.52,56.52,56.52,56.52,2627778
1959-03-18,56.39,56.39,56.39,56.39,2516667
1959-03-19,56.34,56.34,56.34,56.34,2305556
1959-03-20,56.39,56.39,56.39,56.39,2094444
1959-03-23,55.87,55.87,55.87,55.87,2055556
1959-03-24,55.96,55.96,55.96,55.96,1666667
1959-03-25,55.88,55.88,55.88,55.88,1822222
1959-03-26,55.76,55.76,55.76,55.76,1611111
1959-03-30,55.45,55.45,55.45,55.45,1633333
1959-03-31,55.44,55.44,55.44,55.44,1566667
1959-04-01,55.69,55.69,55.69,55.69,1655556
1959-04-02,56,56,56,56,1788889
1959-04-03,56.44,56.44,56.44,56.44,2044444
1959-04-06,56.6,56.6,56.6,56.6,1950000
1959-04-07,56.48,56.48,56.48,56.48,1677778
1959-04-08,56.21,56.21,56.21,56.21,1811111
1959-04-09,56.17,56.17,56.17,56.17,1572222
1959-04-10,56.22,56.22,56.22,56.22,1666667
1959-04-13,56.43,56.43,56.43,56.43,1744444
1959-04-14,56.71,56.71,56.71,56.71,1844444
1959-04-15,56.96,56.96,56.96,56.96,2044444
1959-04-16,57.43,57.43,57.43,57.43,2105556
1959-04-17,57.92,57.92,57.92,57.92,2150000
1959-04-20,58.17,58.17,58.17,58.17,2005556
