"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2023","11,910.52","12,069.12","12,096.39","11,890.09","953.41M","-1.68%"
"02/07/2023","12,113.79","11,891.25","12,150.22","11,836.77","1.07B","1.90%"
"02/06/2023","11,887.45","11,904.41","11,973.41","11,843.49","1.01B","-1.00%"
"02/03/2023","12,006.95","11,946.86","12,231.31","11,946.86","1.11B","-1.59%"
"02/02/2023","12,200.82","12,065.15","12,269.56","12,024.14","1.33B","3.25%"
"02/01/2023","11,816.32","11,573.14","11,904.02","11,500.33","1.21B","2.00%"
"01/31/2023","11,584.55","11,398.58","11,586.01","11,398.37","1.15B","1.67%"
"01/30/2023","11,393.81","11,512.34","11,553.31","11,388.54","954.43M","-1.96%"
"01/27/2023","11,621.71","11,470.47","11,691.89","11,470.27","1.05B","0.95%"
"01/26/2023","11,512.41","11,458.41","11,516.05","11,341.19","992.60M","1.76%"
"01/25/2023","11,313.36","11,146.53","11,334.22","11,069.17","924.72M","-0.18%"
"01/24/2023","11,334.27","11,302.93","11,378.15","11,282.65","914.95M","-0.27%"
"01/23/2023","11,364.41","11,171.94","11,405.50","11,144.03","1.05B","2.01%"
"01/20/2023","11,140.43","10,924.66","11,143.17","10,885.65","1.16B","2.66%"
"01/19/2023","10,852.27","10,890.40","10,932.52","10,804.57","905.21M","-0.96%"
"01/18/2023","10,957.01","11,170.95","11,223.41","10,952.05","986.97M","-1.24%"
"01/17/2023","11,095.11","11,070.00","11,145.44","11,024.72","990.06M","0.14%"
"01/13/2023","11,079.16","10,906.37","11,084.01","10,900.16","919.66M","0.71%"
"01/12/2023","11,001.10","10,969.26","11,027.75","10,797.12","1.03B","0.64%"
"01/11/2023","10,931.67","10,794.99","10,932.44","10,762.73","1.01B","1.76%"
"01/10/2023","10,742.63","10,607.72","10,743.67","10,589.59","888.70M","1.01%"
"01/09/2023","10,635.65","10,662.10","10,807.26","10,619.12","1.04B","0.63%"
"01/06/2023","10,569.29","10,363.96","10,604.14","10,265.04","970.67M","2.56%"
"01/05/2023","10,305.24","10,390.31","10,393.22","10,295.25","957.48M","-1.47%"
"01/04/2023","10,458.76","10,467.82","10,515.22","10,337.64","1.04B","0.69%"
"01/03/2023","10,386.99","10,562.06","10,613.06","10,309.16","983.36M","-0.76%"
"12/30/2022","10,466.48","10,368.37","10,468.31","10,324.69","850.56M","-0.11%"
"12/29/2022","10,478.09","10,321.46","10,502.08","10,301.06","894.54M","2.59%"
"12/28/2022","10,213.29","10,339.20","10,414.82","10,207.47","751.52M","-1.35%"
"12/27/2022","10,353.23","10,462.19","10,472.32","10,340.73","753.05M","-1.38%"
"12/23/2022","10,497.86","10,437.75","10,514.76","10,361.82","678.03M","0.21%"
"12/22/2022","10,476.12","10,586.46","10,599.34","10,313.32","974.20M","-2.18%"
"12/21/2022","10,709.37","10,592.00","10,753.57","10,569.20","937.40M","1.54%"
"12/20/2022","10,547.11","10,490.89","10,609.47","10,446.82","972.31M","0.01%"
